,Ping (ms),Download (Mbit/s),Upload (Mbit/s),Datetime,Date,Time
341,19.115,92.17,14.42,24/11/2016 16:29,2016-11-24,16:29:00
342,19.294,92.52,14.51,24/11/2016 16:29,2016-11-24,16:29:00
343,21.279,92.36,13.77,24/11/2016 16:30,2016-11-24,16:30:00
344,22.478,92.23,14.32,24/11/2016 16:30,2016-11-24,16:30:00
345,19.819000000000003,92.36,14.06,24/11/2016 16:31,2016-11-24,16:31:00
346,22.343000000000004,92.76,14.18,24/11/2016 16:31,2016-11-24,16:31:00
347,19.914,91.83,14.05,24/11/2016 16:32,2016-11-24,16:32:00
348,17.355,91.17,14.48,24/11/2016 16:32,2016-11-24,16:32:00
349,18.756,90.09,14.47,24/11/2016 16:33,2016-11-24,16:33:00
350,20.576,91.89,14.14,24/11/2016 16:33,2016-11-24,16:33:00
351,18.652,92.48,13.85,24/11/2016 16:34,2016-11-24,16:34:00
352,19.985,92.25,13.98,24/11/2016 16:34,2016-11-24,16:34:00
353,18.769000000000002,88.16,13.88,24/11/2016 16:35,2016-11-24,16:35:00
354,21.599,92.08,14.23,24/11/2016 16:35,2016-11-24,16:35:00
